model,year,odometer,price,location,driveTrain,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,state
Model S,,42529,52500,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",$809 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,50881,53100,"Matthews, NC",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,Previously Repaired,Solid Black Paint,19'' Tempest Wheels,$820 /mo,85209,Black and White Premium Interior with Dark Ash Wood Décor,NC
Model S,,20180,53700,"CHERRY HILL, NJ",Model S Performance All-Wheel Drive,Autopilot,Previously Repaired,Deep Blue Metallic,"21"" Sonic Carbon Twin Turbine Wheels",$831 /mo,85209,Cream Premium Interior with Oak Wood Décor,NJ
Model S,,22417,53700,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,19’’ Silver Wheels,$831 /mo,85209,Cream Premium Interior with Oak Wood Décor,FL
Model S,,40479,53700,"Lisle, IL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,"21"" Sonic Carbon Twin Turbine Wheels",$831 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,28579,54000,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$836 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,38650,54100,"CHERRY HILL, NJ",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,19'' Tempest Wheels,$838 /mo,85209,Cream Premium Interior with Oak Wood Décor,NJ
Model S,,20260,54400,"Available to view in Roswell, GA",Model S Performance All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,19'' Tempest Wheels,$844 /mo,85209,All Black Premium Interior with Carbon Fiber Décor,GA
Model S,,21684,54400,"Temecula, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$844 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,32577,55400,"Roswell, GA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$862 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,GA
Model S,,30505,55600,"Elk Grove Village, IL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$865 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,29418,55700,"Rockville, MD",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$867 /mo,85209,Cream Premium Interior with Oak Wood Décor,MD
Model S,,15604,55800,"Lawrence Township, NJ",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,"21"" Sonic Carbon Twin Turbine Wheels",$869 /mo,85209,Black and White Premium Interior with Dark Ash Wood Décor,NJ
Model S,,35236,55800,"Orlando, FL",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,Previously Repaired,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$869 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,18720,56000,"Available to view in UPLAND, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,"19"" Sonic Carbon Slipstream Wheels",$872 /mo,85209,Cream Premium Interior with Oak Wood Décor,CA
Model S,,37443,56400,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$880 /mo,85209,Cream Premium Interior with Oak Wood Décor,CA
Model S,,27404,56500,"Temecula, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$881 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,13138,56800,"Rogers, MN",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,19'' Tempest Wheels,$887 /mo,85209,Cream Premium Interior with Oak Wood Décor,MN
Model S,,25297,56900,"FORT MYERS, FL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,19'' Tempest Wheels,$889 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,27702,57200,"Savannah, GA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$894 /mo,85209,Black and White Premium Interior with Dark Ash Wood Décor,GA
Model S,,34506,57900,"Rockville, MD",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,19'' Tempest Wheels,$907 /mo,85209,Cream Premium Interior with Oak Wood Décor,MD
Model S,,16444,58400,"FORT MYERS, FL",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,Previously Repaired,Solid Black Paint,19'' Tempest Wheels,$915 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,15063,58700,"Available to view in Colma, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$921 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,16994,58800,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$923 /mo,85209,Cream Premium Interior with Oak Wood Décor,CA
Model S,,14721,59100,"Matthews, NC",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$928 /mo,85209,Black and White Premium Interior with Dark Ash Wood Décor,NC
Model S,,16870,59600,"Lawrence Township, NJ",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,19'' Tempest Wheels,$937 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,NJ
Model S,,30024,59700,"Savannah, GA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$939 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,GA
Model S,,33215,60200,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"19"" Sonic Carbon Slipstream Wheels",$948 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,30146,60300,"Walnut, CA",Model S Performance All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",$950 /mo,85209,Black and White Premium Interior with Carbon Fiber Décor,CA
Model S,,13149,61200,"Decatur, GA",Model S Long Range Plus All-Wheel Drive,Autopilot,Previously Repaired,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$966 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,GA
Model S,,42094,62100,"Temecula, CA",Model S Performance All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$982 /mo,85209,Black and White Premium Interior with Carbon Fiber Décor,CA
Model S,,22608,62100,"Rockville, MD",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Deep Blue Metallic,19'' Tempest Wheels,$982 /mo,85209,Cream Premium Interior with Oak Wood Décor,MD
Model S,,23333,63000,,Model S Performance All-Wheel Drive,Full Self-Driving Capability,Previously Repaired,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$998 /mo,85209,Cream Premium Interior with Oak Wood Décor,
Model S,,41391,47300,"Available to view in Colma, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,19'' Tempest Wheels,$716 /mo,85254,Black and White Premium Interior with Dark Ash Wood Décor,CA
Model S,,36925,53100,"Colma, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,19'' Tempest Wheels,$820 /mo,85254,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,16994,58800,"Available to view in Colma, CA",Model S Long Range Plus All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$923 /mo,85254,Cream Premium Interior with Oak Wood Décor,CA
Model S,,41391,47300,"Available to view in Colma, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,19'' Tempest Wheels,$716 /mo,85260,Black and White Premium Interior with Dark Ash Wood Décor,CA
Model S,,36925,53100,"Colma, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,19'' Tempest Wheels,$820 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,16994,58800,"Available to view in Colma, CA",Model S Long Range Plus All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$923 /mo,85260,Cream Premium Interior with Oak Wood Décor,CA
Model S,,45284,47200,"Dedham, MA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,"19"" Sonic Carbon Slipstream Wheels",$714 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,MA
Model S,,60507,48200,"FORT MYERS, FL",Model S Long Range Plus All-Wheel Drive,Autopilot,Previously Repaired,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$732 /mo,85260,Cream Premium Interior with Oak Wood Décor,FL
Model S,,27828,49400,"Rogers, MN",Model S Long Range Plus All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,19'' Tempest Wheels,$754 /mo,85260,Black and White Premium Interior with Dark Ash Wood Décor,MN
Model S,,25082,49700,"Orlando, FL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,"19"" Sonic Carbon Slipstream Wheels",$759 /mo,85260,Cream Premium Interior with Oak Wood Décor,FL
Model S,,32822,49900,"Orland Park, IL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$763 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,25039,50300,"Fort Lauderdale, FL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,19'' Tempest Wheels,$770 /mo,85260,Cream Premium Interior with Oak Wood Décor,FL
Model S,,38783,50400,"Libertyville, IL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$772 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,19821,50500,"Rockville, MD",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,"19"" Sonic Carbon Slipstream Wheels",$773 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,MD
Model S,,29199,50700,"FORT MYERS, FL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"19"" Sonic Carbon Slipstream Wheels",$777 /mo,85260,Cream Premium Interior with Oak Wood Décor,FL
Model S,,47056,51100,"Matthews, NC",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",$784 /mo,85260,Black and White Premium Interior with Dark Ash Wood Décor,NC
Model S,,28249,51500,"Rogers, MN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,19’’ Silver Wheels,$791 /mo,85260,Black and White Premium Interior with Dark Ash Wood Décor,MN
Model S,,33368,51500,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$791 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,56931,51800,"Rockville, MD",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,Previously Repaired,Midnight Silver Metallic Paint,19'' Tempest Wheels,$797 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,MD
Model S,,34703,51900,"Vienna, VA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$799 /mo,85260,Cream Premium Interior with Oak Wood Décor,VA
Model S,,28674,52400,"Available to view in Decatur, GA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$808 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,GA
Model S,,42529,52500,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",$809 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,50881,53100,"Matthews, NC",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,Previously Repaired,Solid Black Paint,19'' Tempest Wheels,$820 /mo,85260,Black and White Premium Interior with Dark Ash Wood Décor,NC
Model S,,22417,53700,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,19’’ Silver Wheels,$831 /mo,85260,Cream Premium Interior with Oak Wood Décor,FL
Model S,,40479,53700,"Lisle, IL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,"21"" Sonic Carbon Twin Turbine Wheels",$831 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,20180,53700,"CHERRY HILL, NJ",Model S Performance All-Wheel Drive,Autopilot,Previously Repaired,Deep Blue Metallic,"21"" Sonic Carbon Twin Turbine Wheels",$831 /mo,85260,Cream Premium Interior with Oak Wood Décor,NJ
Model S,,28579,54000,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$836 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,38650,54100,"CHERRY HILL, NJ",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,19'' Tempest Wheels,$838 /mo,85260,Cream Premium Interior with Oak Wood Décor,NJ
Model S,,20260,54400,"Available to view in Roswell, GA",Model S Performance All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,19'' Tempest Wheels,$844 /mo,85260,All Black Premium Interior with Carbon Fiber Décor,GA
Model S,,21684,54400,"Temecula, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$844 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,32577,55400,"Roswell, GA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$862 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,GA
Model S,,30505,55600,"Elk Grove Village, IL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$865 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,29418,55700,"Rockville, MD",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$867 /mo,85260,Cream Premium Interior with Oak Wood Décor,MD
Model S,,15604,55800,"Lawrence Township, NJ",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,"21"" Sonic Carbon Twin Turbine Wheels",$869 /mo,85260,Black and White Premium Interior with Dark Ash Wood Décor,NJ
Model S,,35236,55800,"Orlando, FL",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,Previously Repaired,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$869 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,18720,56000,"Available to view in UPLAND, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,"19"" Sonic Carbon Slipstream Wheels",$872 /mo,85260,Cream Premium Interior with Oak Wood Décor,CA
Model S,,37443,56400,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$880 /mo,85260,Cream Premium Interior with Oak Wood Décor,CA
Model S,,27404,56500,"Temecula, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$881 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,13138,56800,"Rogers, MN",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,19'' Tempest Wheels,$887 /mo,85260,Cream Premium Interior with Oak Wood Décor,MN
Model S,,25297,56900,"FORT MYERS, FL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,19'' Tempest Wheels,$889 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,27702,57200,"Savannah, GA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$894 /mo,85260,Black and White Premium Interior with Dark Ash Wood Décor,GA
Model S,,34506,57900,"Rockville, MD",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,19'' Tempest Wheels,$907 /mo,85260,Cream Premium Interior with Oak Wood Décor,MD
Model S,,16444,58400,"FORT MYERS, FL",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,Previously Repaired,Solid Black Paint,19'' Tempest Wheels,$915 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,15063,58700,"Available to view in Colma, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$921 /mo,85260,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,16994,58800,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$923 /mo,85260,Cream Premium Interior with Oak Wood Décor,CA
Model S,,14721,59100,"Matthews, NC",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$928 /mo,85260,Black and White Premium Interior with Dark Ash Wood Décor,NC
